Date,y,lag_1,lag_2,lag_4,lag_52,rolling_mean_4,rolling_mean_12
2011-02-04,46153111.12,39599852.99,40654648.03,42775787.77,49750740.5,40925991.7075,50794657.31666666
2011-02-11,47336192.79,46153111.12,39599852.99,40673678.04,48336677.63,41770322.545,50797016.5075
2011-02-18,48716164.12,47336192.79,46153111.12,40654648.03,48276993.78,43435951.2325,50981233.89166666
2011-02-25,44125859.84,48716164.12,47336192.79,39599852.99,43968571.13,45451330.254999995,49555830.63166667
2011-03-04,46980603.74,44125859.84,48716164.12,46153111.12,46871470.3,46582831.9675,49073899.961666666
2011-03-11,44627319.4,46980603.74,44125859.84,47336192.79,45925396.51,46789705.122499995,48350052.740833335
2011-03-18,44872325.97,44627319.4,46980603.74,48716164.12,44988974.64,46112486.775,46917262.70333334
2011-03-25,42876199.18,44872325.97,44627319.4,44125859.84,44133961.05,45151527.237500004,43912338.567499995
2011-04-01,43458991.19,42876199.18,44872325.97,46980603.74,50423831.26,44839112.072500005,44115978.582499996
2011-04-08,45887466.8,43458991.19,42876199.18,44627319.4,47365290.44,43958708.935,44172912.20083333
2011-04-15,44973328.14,45887466.8,43458991.19,44872325.97,45183667.08,44273745.785,44607394.597500004
2011-04-22,48676692.06,44973328.14,45887466.8,42876199.18,44734452.56,44298996.3275,44967284.60666666
2011-04-29,43530032.78,48676692.06,44973328.14,43458991.19,43705126.71,45749119.5475,45723687.862500004
2011-05-06,46861958.29,43530032.78,48676692.06,45887466.8,48503243.52,45766879.945,45505098.00083333
2011-05-13,45446144.82,46861958.29,43530032.78,44973328.14,45330080.2,46010502.8175,45465578.45916667
2011-05-20,44046598.01,45446144.82,46861958.29,48676692.06,45120108.06,46128706.9875,45193076.850833334
2011-05-27,45293457.04,44046598.01,45446144.82,43530032.78,47757502.56,44971183.474999994,45186471.69833333
2011-06-03,48771994.18,45293457.04,44046598.01,46861958.29,50188543.12,45412039.54,45045876.13999999
2011-06-10,47669734.66,48771994.18,45293457.04,45446144.82,47826546.72,45889548.5125,45391265.705000006
2011-06-17,47447561.77,47669734.66,48771994.18,44046598.01,47622046.23,46445445.9725,45624383.09583333
2011-06-24,45884094.58,47447561.77,47669734.66,45293457.04,46609036.29,47295686.9125,46005329.97833333
2011-07-01,47578519.5,45884094.58,47447561.77,48771994.18,48917484.5,47443346.2975,46207421.9275
2011-07-08,47859263.78,47578519.5,45884094.58,47669734.66,47899529.37,47144977.6275,46348342.98583334
2011-07-15,45515929.92,47859263.78,47578519.5,47447561.77,46243899.58,47192359.907500006,46588837.6225
2011-07-22,45274411.39,45515929.92,47859263.78,45884094.58,44888849.11,46709451.945,46325440.7775
2011-07-29,43683274.28,45274411.39,45515929.92,47578519.5,44630363.42,46557031.1475,46470805.66166666
2011-08-05,48015466.97,43683274.28,45274411.39,47859263.78,48204999.12,45583219.8425,46205915.32750001
2011-08-12,46249569.21,48015466.97,43683274.28,45515929.92,46464418.410000004,45622270.64,46420025.50666666
2011-08-19,46917347.62,46249569.21,48015466.97,45274411.39,47060952.92,45805680.462500006,46603606.44
2011-08-26,47416948.45,46917347.62,46249569.21,43683274.28,45909740.44,46216414.519999996,46738930.655
2011-09-02,45376623.27,47416948.45,46917347.62,48015466.97,47194257.61,47149833.0625,46626010.1775
2011-09-09,46763227.53,45376623.27,47416948.45,46249569.21,45634397.84,46490122.1375,46434917.56166667
2011-09-16,43793960.08,46763227.53,45376623.27,46917347.62,43080726.51,46618536.7175,46377889.708333336
2011-09-23,42718096.73,43793960.08,46763227.53,47416948.45,41358514.41,45837689.8325,46203711.833333336
2011-09-30,42195830.81,42718096.73,43793960.08,45376623.27,42239875.87,44662976.902499996,45798676.6025
2011-10-07,47211688.36,42195830.81,42718096.73,46763227.53,45102974.23,43867778.7875,45326723.855
2011-10-14,44374820.3,47211688.36,42195830.81,43793960.08,43149473.45,43979893.995,45468037.05833333
2011-10-21,45818953.44,44374820.3,47211688.36,42718096.73,43066669.52,44125109.05,45393071.134166665
2011-10-28,45855821.05,45818953.44,44374820.3,42195830.81,43602830.95,44900323.2275,45571044.3975
2011-11-04,48655544.3,45855821.05,45818953.44,47211688.36,45781981.89,45815320.7875,45391073.90416667
2011-11-11,48474224.75,48655544.3,45855821.05,44374820.3,46124800.83,46176284.77249999,45591571.82833334
2011-11-18,46438980.56,48474224.75,48655544.3,45818953.44,45125584.18,47201135.885,45721311.58916667
2011-11-25,66593605.26,46438980.56,48474224.75,45855821.05,65821003.24,47356142.665,45639814.26500001
2011-12-02,49390556.49,66593605.26,46438980.56,48655544.3,49909027.88,52540588.7175,47407896.0975
2011-12-09,55561147.7,49390556.49,66593605.26,48474224.75,55666770.39,52724341.765,47626840.1775
2011-12-16,60085695.94,55561147.7,49390556.49,46438980.56,61820799.85,54496072.502500005,48607439.145833336
2011-12-23,76998241.31,60085695.94,55561147.7,66593605.26,80931415.6,57907751.347500004,50054739.07999999
2011-12-30,46042461.04,76998241.31,60085695.94,49390556.49,40432519.0,60508910.36,52954939.955000006
2012-01-06,44955421.95,46042461.04,76998241.31,55561147.7,42775787.77,59671886.4975,52857504.345
2012-01-13,42023078.48,44955421.95,46042461.04,60085695.94,40673678.04,57020455.06,52905887.81583334
2012-01-20,42080996.56,42023078.48,44955421.95,76998241.31,40654648.03,52504800.695,52589564.902499996
2012-01-27,39834974.67,42080996.56,42023078.48,46042461.04,39599852.99,43775489.5075,52274996.195
2012-02-03,46085608.09,39834974.67,42080996.56,44955421.95,46153111.12,42223617.91500001,51539948.72583333
2012-02-10,50009407.92,46085608.09,39834974.67,42023078.48,47336192.79,42506164.45,51340897.3375
2012-02-17,50197056.96,50009407.92,46085608.09,42080996.56,48716164.12,44502746.81,51638432.95083334
2012-02-24,45771506.57,50197056.96,50009407.92,39834974.67,44125859.84,46531761.910000004,50272053.92583334
2012-03-02,46861034.97,45771506.57,50197056.96,46085608.09,46980603.74,48015894.885000005,49970466.432500005
2012-03-09,47480454.11,46861034.97,45771506.57,50009407.92,44627319.4,48209751.605,49245457.038333334
2012-03-16,46901504.94,47480454.11,46861034.97,50197056.96,44872325.97,47577513.1525,48195020.219166666
2012-03-23,44993794.45,46901504.94,47480454.11,45771506.57,42876199.18,46753625.14749999,45686958.855
2012-03-30,45272862.02,44993794.45,46901504.94,46861034.97,43458991.19,46559197.1175,45599569.972500004
2012-04-06,53502315.87,45272862.02,44993794.45,47480454.11,45887466.8,46162153.88,45626023.31166667
2012-04-13,46629261.41,53502315.87,45272862.02,46901504.94,44973328.14,47667619.32000001,46582626.4275
2012-04-20,45072529.78,46629261.41,53502315.87,44993794.45,48676692.06,47599558.4375,46961648.498333335
2012-04-27,43716798.89,45072529.78,46629261.41,45272862.02,43530032.78,47619242.269999996,47398111.42416667
2012-05-04,47124197.93,43716798.89,45072529.78,53502315.87,46861958.29,47230226.4875,47200710.6575
2012-05-11,46925878.99,47124197.93,43716798.89,46629261.41,45446144.82,45635697.0025,46960276.49166667
2012-05-18,46823939.22,46925878.99,47124197.93,45072529.78,44046598.01,45709851.39750001,46687678.32750001
2012-05-25,47892463.31,46823939.22,46925878.99,43716798.89,45293457.04,46147703.75749999,46775381.048333324
2012-06-01,48281649.72,47892463.31,46823939.22,47124197.93,48771994.18,47191619.8625,46861333.41
2012-06-08,49651171.78,48281649.72,47892463.31,46925878.99,47669734.66,47480982.81,46928099.71083333
2012-06-15,48412110.7,49651171.78,48281649.72,46823939.22,47447561.77,48162306.00749999,47157238.61416667
2012-06-22,47668284.97,48412110.7,49651171.78,47892463.31,45884094.58,48559348.877500005,47442098.30166667
2012-06-29,46597112.12,47668284.97,48412110.7,48281649.72,47578519.5,48503304.2925,47641716.880833335
2012-07-06,51253021.88,46597112.12,47668284.97,49651171.78,47859263.78,48082169.8925,47066283.23500001
2012-07-13,46099732.1,51253021.88,46597112.12,48412110.7,45515929.92,48482632.417500004,47451596.607499994
2012-07-20,46059543.45,46099732.1,51253021.88,47668284.97,45274411.39,47904537.7675,47537196.80083334
2012-07-27,44097154.97,46059543.45,46099732.1,46597112.12,43683274.28,47502352.3875,47732425.514166676
